epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2426.29,0.89766,3.96563,0.97038,0.50783,0.14792,0.11449,0.09267,0.77773,3.4161,0.91221,5.36216e-05,5.36216e-05,5.36216e-05
1,2634.55,0.89766,3.96563,0.97038,0.50783,0.14792,0.11449,0.09267,0.77773,3.4161,0.91221,5.36216e-05,5.36216e-05,5.36216e-05
2,5241.47,0.78238,2.47689,0.92864,0.56959,0.25594,0.26745,0.21691,0.77225,2.76188,0.92095,8.60452e-05,8.60452e-05,8.60452e-05
3,7635.71,0.7313,1.97732,0.91036,0.6205,0.32317,0.36313,0.29353,0.76912,2.36675,0.91823,9.72168e-05,9.72168e-05,9.72168e-05
4,9987.55,0.69837,1.69083,0.90594,0.59278,0.448,0.45612,0.36646,0.75146,2.09757,0.90848,6.5366e-05,6.5366e-05,6.5366e-05
5,12328,0.6679,1.51441,0.89607,0.67168,0.45622,0.5245,0.42727,0.7363,1.9549,0.90262,3.3488e-05,3.3488e-05,3.3488e-05
1,2831.18,0.89766,3.96563,0.97038,0.50783,0.14792,0.11449,0.09267,0.77773,3.4161,0.91221,5.36216e-05,5.36216e-05,5.36216e-05
2,5775.02,0.78238,2.47689,0.92864,0.56959,0.25594,0.26745,0.21691,0.77225,2.76188,0.92095,8.60452e-05,8.60452e-05,8.60452e-05
3,9106.08,0.7313,1.97732,0.91036,0.6205,0.32317,0.36313,0.29353,0.76912,2.36675,0.91823,9.72168e-05,9.72168e-05,9.72168e-05
4,12236.1,0.69837,1.69083,0.90594,0.59278,0.448,0.45612,0.36646,0.75146,2.09757,0.90848,6.5366e-05,6.5366e-05,6.5366e-05
5,15528.8,0.6679,1.51441,0.89607,0.67168,0.45622,0.5245,0.42727,0.7363,1.9549,0.90262,3.3488e-05,3.3488e-05,3.3488e-05
